id,author_id_1,author_id_2
961884,2146335907.0,2125104194.0
961884,2125104194.0,2146335907.0
912575,2104129307.0,2166284823.0
912575,2166284823.0,2104129307.0
1218774,2037466936.0,2196778472.0
1218774,2196778472.0,2037466936.0
1291450,2102678951.0,2150011549.0
1291450,2150011549.0,2102678951.0
2092921,343811326.0,2231782831.0
2092921,2231782831.0,343811326.0
2647394,2167404190.0,1903060929.0
2647394,1903060929.0,2167404190.0
2966661,563069026.0,1171453863.0
2966661,1171453863.0,563069026.0
3100551,2345025092.0,2112978975.0
3100551,2112978975.0,2345025092.0
4373199,2125104194.0,2111415347.0
4373199,2111415347.0,2125104194.0
4518955,2146335907.0,2125104194.0
4518955,2125104194.0,2146335907.0
5005017,228437624.0,2164040783.0
5005017,2164040783.0,228437624.0
5070673,420267153.0,1873538321.0
5070673,1873538321.0,420267153.0
5335935,2169753361.0,2166597129.0
5335935,2166597129.0,2169753361.0
5796403,2021686850.0,2051598476.0
5796403,2051598476.0,2021686850.0
5939791,2103789662.0,2101552792.0
5939791,2101552792.0,2103789662.0
6809324,1728759264.0,699581604.0
6809324,699581604.0,1728759264.0
6990512,2300659125.0,2082615088.0
6990512,2082615088.0,2300659125.0
7057653,2300659125.0,2082615088.0
7057653,2082615088.0,2300659125.0
7410442,2300659125.0,2082615088.0
7410442,2082615088.0,2300659125.0
7746136,363366491.0,1944499404.0
7746136,1944499404.0,363366491.0
7953377,1987600604.0,1976298713.0
7953377,1976298713.0,1987600604.0
9904157,2001160045.0,2192390985.0
9904157,2192390985.0,2001160045.0
9968175,2300659125.0,2082615088.0
9968175,2082615088.0,2300659125.0
10390722,2010142017.0,2037598615.0
10390722,2037598615.0,2010142017.0
10566567,1965883356.0,2103920730.0
10566567,2103920730.0,1965883356.0
10684755,2014530249.0,2138654397.0
10684755,2138654397.0,2014530249.0
10972377,2122007671.0,2000097935.0
10972377,2000097935.0,2122007671.0
12558480,2300659125.0,2082615088.0
12558480,2082615088.0,2300659125.0
13261264,2339798781.0,2131229705.0
13261264,2131229705.0,2339798781.0
13264392,1965883356.0,2103920730.0
13264392,2103920730.0,1965883356.0
13772357,37162533.0,2427477170.0
13772357,37162533.0,1958098182.0
13772357,37162533.0,727299494.0
13772357,37162533.0,2107468044.0
13772357,2427477170.0,37162533.0
13772357,2427477170.0,1958098182.0
13772357,2427477170.0,727299494.0
13772357,2427477170.0,2107468044.0
13772357,1958098182.0,37162533.0
13772357,1958098182.0,2427477170.0
13772357,1958098182.0,727299494.0
13772357,1958098182.0,2107468044.0
13772357,727299494.0,37162533.0
13772357,727299494.0,2427477170.0
13772357,727299494.0,1958098182.0
13772357,727299494.0,2107468044.0
13772357,2107468044.0,37162533.0
13772357,2107468044.0,2427477170.0
13772357,2107468044.0,1958098182.0
13772357,2107468044.0,727299494.0
14009835,2052109716.0,2161479384.0
14009835,2161479384.0,2052109716.0
14088873,2078633956.0,1903060929.0
14088873,1903060929.0,2078633956.0
14389471,2098984663.0,295064773.0
14389471,295064773.0,2098984663.0
